Entity,Code,Day,facial_coverings,,
Afghanistan,AFG,28/5/20,1,,
Afghanistan,AFG,29/5/20,1,,
Afghanistan,AFG,30/5/20,1,,
Afghanistan,AFG,31/5/20,1,,
Afghanistan,AFG,1/6/20,1,,
Afghanistan,AFG,2/6/20,1,,
Afghanistan,AFG,3/6/20,1,,
Afghanistan,AFG,4/6/20,1,,
Afghanistan,AFG,5/6/20,1,,
Afghanistan,AFG,6/6/20,1,,
Afghanistan,AFG,7/6/20,3,,
Afghanistan,AFG,8/6/20,3,,
Afghanistan,AFG,9/6/20,3,,
Afghanistan,AFG,10/6/20,3,,
Afghanistan,AFG,11/6/20,3,,
Afghanistan,AFG,12/6/20,3,,
Afghanistan,AFG,13/6/20,3,,
Afghanistan,AFG,14/6/20,3,,
Afghanistan,AFG,15/6/20,3,,
Afghanistan,AFG,16/6/20,3,,
Afghanistan,AFG,17/6/20,3,,
Afghanistan,AFG,18/6/20,3,,
Afghanistan,AFG,19/6/20,3,,
Afghanistan,AFG,20/6/20,3,,
Afghanistan,AFG,21/6/20,3,,
Afghanistan,AFG,22/6/20,3,,
Afghanistan,AFG,23/6/20,3,,
Afghanistan,AFG,24/6/20,3,,
Afghanistan,AFG,25/6/20,3,,
Afghanistan,AFG,26/6/20,3,,
Afghanistan,AFG,27/6/20,3,,
Afghanistan,AFG,28/6/20,3,,
Afghanistan,AFG,29/6/20,3,,
Afghanistan,AFG,30/6/20,3,,
Afghanistan,AFG,1/7/20,3,,
Afghanistan,AFG,2/7/20,3,,
Afghanistan,AFG,3/7/20,3,,
Afghanistan,AFG,4/7/20,3,,
Afghanistan,AFG,5/7/20,3,,
Afghanistan,AFG,6/7/20,3,,
Afghanistan,AFG,7/7/20,3,,
Afghanistan,AFG,8/7/20,3,,
Afghanistan,AFG,9/7/20,3,,
Afghanistan,AFG,10/7/20,3,,
Afghanistan,AFG,11/7/20,3,,
Afghanistan,AFG,12/7/20,3,,
Afghanistan,AFG,13/7/20,3,,
Afghanistan,AFG,14/7/20,3,,
Afghanistan,AFG,15/7/20,3,,
Afghanistan,AFG,16/7/20,3,,
Afghanistan,AFG,17/7/20,3,,
Afghanistan,AFG,18/7/20,3,,
Afghanistan,AFG,19/7/20,3,,
Afghanistan,AFG,20/7/20,3,,
Afghanistan,AFG,21/7/20,3,,
Afghanistan,AFG,22/7/20,3,,
Afghanistan,AFG,23/7/20,3,,
Afghanistan,AFG,24/7/20,3,,
Afghanistan,AFG,25/7/20,3,,
Afghanistan,AFG,26/7/20,3,,
Afghanistan,AFG,27/7/20,3,,
Afghanistan,AFG,28/7/20,3,,
Afghanistan,AFG,29/7/20,3,,
Afghanistan,AFG,30/7/20,3,,
Afghanistan,AFG,31/7/20,3,,
Afghanistan,AFG,1/8/20,3,,
Afghanistan,AFG,2/8/20,3,,
Afghanistan,AFG,3/8/20,3,,
Afghanistan,AFG,4/8/20,3,,
Afghanistan,AFG,5/8/20,3,,
Afghanistan,AFG,6/8/20,3,,
Afghanistan,AFG,7/8/20,3,,
Afghanistan,AFG,8/8/20,3,,
Afghanistan,AFG,9/8/20,3,,
Afghanistan,AFG,10/8/20,3,,
Afghanistan,AFG,11/8/20,3,,
Afghanistan,AFG,12/8/20,3,,
Afghanistan,AFG,13/8/20,3,,
Afghanistan,AFG,14/8/20,3,,
Afghanistan,AFG,15/8/20,3,,
Afghanistan,AFG,16/8/20,3,,
Afghanistan,AFG,17/8/20,3,,
Afghanistan,AFG,18/8/20,3,,
Afghanistan,AFG,19/8/20,3,,
Afghanistan,AFG,20/8/20,3,,
Afghanistan,AFG,21/8/20,3,,
Afghanistan,AFG,22/8/20,3,,
Afghanistan,AFG,23/8/20,3,,
Afghanistan,AFG,24/8/20,3,,
Afghanistan,AFG,25/8/20,3,,
Afghanistan,AFG,26/8/20,3,,
Afghanistan,AFG,27/8/20,3,,
Afghanistan,AFG,28/8/20,3,,
Afghanistan,AFG,29/8/20,3,,
Afghanistan,AFG,30/8/20,3,,
Afghanistan,AFG,31/8/20,3,,
Afghanistan,AFG,1/9/20,3,,
Afghanistan,AFG,2/9/20,3,,
Afghanistan,AFG,3/9/20,3,,
Afghanistan,AFG,4/9/20,3,,
Afghanistan,AFG,5/9/20,3,,
Afghanistan,AFG,6/9/20,3,,
Afghanistan,AFG,7/9/20,3,,
Afghanistan,AFG,8/9/20,3,,
Afghanistan,AFG,9/9/20,3,,
Afghanistan,AFG,10/9/20,3,,
Afghanistan,AFG,11/9/20,3,,
Afghanistan,AFG,12/9/20,3,,
Afghanistan,AFG,13/9/20,3,,
Afghanistan,AFG,14/9/20,3,,
Afghanistan,AFG,15/9/20,3,,
Afghanistan,AFG,16/9/20,3,,
Afghanistan,AFG,17/9/20,3,,
Afghanistan,AFG,18/9/20,3,,
Afghanistan,AFG,19/9/20,3,,
Afghanistan,AFG,20/9/20,3,,
Afghanistan,AFG,21/9/20,3,,
Afghanistan,AFG,22/9/20,3,,
Afghanistan,AFG,23/9/20,3,,
Afghanistan,AFG,24/9/20,3,,
Afghanistan,AFG,25/9/20,3,,
Afghanistan,AFG,26/9/20,3,,
Afghanistan,AFG,27/9/20,3,,
Afghanistan,AFG,28/9/20,3,,
Afghanistan,AFG,29/9/20,3,,
Afghanistan,AFG,30/9/20,3,,
Afghanistan,AFG,1/10/20,3,,
Afghanistan,AFG,2/10/20,3,,
Afghanistan,AFG,3/10/20,3,,
Afghanistan,AFG,4/10/20,3,,
Afghanistan,AFG,5/10/20,3,,
Afghanistan,AFG,6/10/20,2,,
Afghanistan,AFG,7/10/20,2,,
Afghanistan,AFG,8/10/20,2,,
Afghanistan,AFG,9/10/20,2,,
Afghanistan,AFG,10/10/20,2,,
Afghanistan,AFG,11/10/20,2,,
Afghanistan,AFG,12/10/20,2,,
Afghanistan,AFG,13/10/20,2,,
Afghanistan,AFG,14/10/20,2,,
Afghanistan,AFG,15/10/20,2,,
Afghanistan,AFG,16/10/20,2,,
Afghanistan,AFG,17/10/20,2,,
Afghanistan,AFG,18/10/20,2,,
Afghanistan,AFG,19/10/20,2,,
Afghanistan,AFG,20/10/20,2,,
Afghanistan,AFG,21/10/20,2,,
Afghanistan,AFG,22/10/20,2,,
Afghanistan,AFG,23/10/20,2,,
Afghanistan,AFG,24/10/20,2,,
Afghanistan,AFG,25/10/20,2,,
Afghanistan,AFG,26/10/20,2,,
Afghanistan,AFG,27/10/20,2,,
Afghanistan,AFG,28/10/20,2,,
Afghanistan,AFG,29/10/20,2,,
Afghanistan,AFG,30/10/20,2,,
Afghanistan,AFG,31/10/20,2,,
Afghanistan,AFG,1/11/20,2,,
Afghanistan,AFG,2/11/20,3,,
Afghanistan,AFG,3/11/20,3,,
Afghanistan,AFG,4/11/20,3,,
Afghanistan,AFG,5/11/20,3,,
Afghanistan,AFG,6/11/20,3,,
Afghanistan,AFG,7/11/20,3,,
Afghanistan,AFG,8/11/20,3,,
Afghanistan,AFG,9/11/20,3,,
Afghanistan,AFG,10/11/20,3,,
Afghanistan,AFG,11/11/20,3,,
Afghanistan,AFG,12/11/20,3,,
Afghanistan,AFG,13/11/20,3,,
Afghanistan,AFG,14/11/20,3,,
Afghanistan,AFG,15/11/20,3,,
Afghanistan,AFG,16/11/20,3,,
Afghanistan,AFG,17/11/20,3,,
Afghanistan,AFG,18/11/20,3,,
Afghanistan,AFG,19/11/20,3,,
Afghanistan,AFG,20/11/20,3,,
Afghanistan,AFG,21/11/20,3,,
Afghanistan,AFG,22/11/20,3,,
Afghanistan,AFG,23/11/20,3,,
Afghanistan,AFG,24/11/20,3,,
Afghanistan,AFG,25/11/20,3,,
Afghanistan,AFG,26/11/20,3,,
Afghanistan,AFG,27/11/20,3,,
Afghanistan,AFG,28/11/20,3,,
Afghanistan,AFG,29/11/20,3,,
Afghanistan,AFG,30/11/20,3,,
Afghanistan,AFG,1/12/20,3,,
Afghanistan,AFG,2/12/20,3,,
Afghanistan,AFG,3/12/20,3,,
Afghanistan,AFG,4/12/20,3,,
Afghanistan,AFG,5/12/20,3,,
Afghanistan,AFG,6/12/20,3,,
Afghanistan,AFG,7/12/20,3,,
Afghanistan,AFG,8/12/20,3,,
Afghanistan,AFG,9/12/20,3,,
Afghanistan,AFG,10/12/20,3,,
Afghanistan,AFG,11/12/20,3,,
Afghanistan,AFG,12/12/20,3,,
Afghanistan,AFG,13/12/20,3,,
Afghanistan,AFG,14/12/20,3,,
Afghanistan,AFG,15/12/20,3,,
Afghanistan,AFG,16/12/20,3,,
Afghanistan,AFG,17/12/20,3,,
Afghanistan,AFG,18/12/20,3,,
Afghanistan,AFG,19/12/20,3,,
Afghanistan,AFG,20/12/20,3,,
Afghanistan,AFG,21/12/20,3,,
Afghanistan,AFG,22/12/20,3,,
Afghanistan,AFG,23/12/20,3,,
Afghanistan,AFG,24/12/20,3,,
Afghanistan,AFG,25/12/20,3,,
Afghanistan,AFG,26/12/20,3,,
Afghanistan,AFG,27/12/20,3,,
Afghanistan,AFG,28/12/20,3,,
Afghanistan,AFG,29/12/20,3,,
Afghanistan,AFG,30/12/20,3,,
Afghanistan,AFG,31/12/20,3,,
Afghanistan,AFG,1/1/21,3,,
Afghanistan,AFG,2/1/21,3,,
Afghanistan,AFG,3/1/21,3,,
Afghanistan,AFG,4/1/21,3,,
Afghanistan,AFG,5/1/21,3,,
Afghanistan,AFG,6/1/21,3,,
Afghanistan,AFG,7/1/21,3,,
Afghanistan,AFG,8/1/21,3,,
Afghanistan,AFG,9/1/21,3,,
Afghanistan,AFG,10/1/21,3,,
Afghanistan,AFG,11/1/21,3,,
Afghanistan,AFG,12/1/21,3,,
Afghanistan,AFG,13/1/21,3,,
Afghanistan,AFG,14/1/21,3,,
Afghanistan,AFG,15/1/21,3,,
Afghanistan,AFG,16/1/21,3,,
Afghanistan,AFG,17/1/21,3,,
Afghanistan,AFG,18/1/21,3,,
Afghanistan,AFG,19/1/21,3,,
Afghanistan,AFG,20/1/21,3,,
Afghanistan,AFG,21/1/21,3,,
Afghanistan,AFG,22/1/21,3,,
Afghanistan,AFG,23/1/21,3,,
Afghanistan,AFG,24/1/21,3,,
Afghanistan,AFG,25/1/21,3,,
Afghanistan,AFG,26/1/21,3,,
Afghanistan,AFG,27/1/21,3,,
Afghanistan,AFG,28/1/21,3,,
Afghanistan,AFG,29/1/21,3,,
Afghanistan,AFG,30/1/21,3,,
Afghanistan,AFG,31/1/21,3,,
Afghanistan,AFG,1/2/21,3,,
Afghanistan,AFG,2/2/21,3,,
Afghanistan,AFG,3/2/21,3,,
Afghanistan,AFG,4/2/21,3,,
Afghanistan,AFG,5/2/21,3,,
Afghanistan,AFG,6/2/21,3,,
Afghanistan,AFG,7/2/21,3,,
Afghanistan,AFG,8/2/21,3,,
Afghanistan,AFG,9/2/21,3,,
Afghanistan,AFG,10/2/21,3,,
Afghanistan,AFG,11/2/21,3,,
Afghanistan,AFG,12/2/21,3,,
Afghanistan,AFG,13/2/21,3,,
Afghanistan,AFG,14/2/21,3,,
Afghanistan,AFG,15/2/21,3,,
Afghanistan,AFG,16/2/21,3,,
Afghanistan,AFG,17/2/21,3,,
Afghanistan,AFG,18/2/21,3,,
Afghanistan,AFG,19/2/21,3,,
Afghanistan,AFG,20/2/21,3,,
Afghanistan,AFG,21/2/21,3,,
Afghanistan,AFG,22/2/21,3,,
Afghanistan,AFG,23/2/21,3,,
Afghanistan,AFG,24/2/21,3,,
Afghanistan,AFG,25/2/21,3,,
Afghanistan,AFG,26/2/21,3,,
Afghanistan,AFG,27/2/21,3,,
Afghanistan,AFG,28/2/21,3,,
Afghanistan,AFG,1/3/21,3,,
Afghanistan,AFG,2/3/21,2,,
Afghanistan,AFG,3/3/21,2,,
Afghanistan,AFG,4/3/21,2,,
Afghanistan,AFG,5/3/21,2,,
Afghanistan,AFG,6/3/21,2,,
Afghanistan,AFG,7/3/21,2,,
Afghanistan,AFG,8/3/21,2,,
Afghanistan,AFG,9/3/21,2,,
Afghanistan,AFG,10/3/21,2,,
Afghanistan,AFG,11/3/21,2,,
Afghanistan,AFG,12/3/21,2,,
Afghanistan,AFG,13/3/21,2,,
Afghanistan,AFG,14/3/21,2,,
Afghanistan,AFG,15/3/21,2,,
Afghanistan,AFG,16/3/21,2,,
Afghanistan,AFG,17/3/21,2,,
Afghanistan,AFG,18/3/21,2,,
Afghanistan,AFG,19/3/21,2,,
Afghanistan,AFG,20/3/21,2,,
Afghanistan,AFG,21/3/21,2,,
Afghanistan,AFG,22/3/21,2,,
Afghanistan,AFG,23/3/21,2,,
Afghanistan,AFG,24/3/21,2,,
Afghanistan,AFG,25/3/21,2,,
Afghanistan,AFG,26/3/21,2,,
Afghanistan,AFG,27/3/21,2,,
Afghanistan,AFG,28/3/21,2,,
Afghanistan,AFG,29/3/21,2,,
Afghanistan,AFG,30/3/21,2,,
Afghanistan,AFG,31/3/21,2,,
Afghanistan,AFG,1/4/21,2,,
Afghanistan,AFG,2/4/21,2,,
Afghanistan,AFG,3/4/21,2,,
Afghanistan,AFG,4/4/21,2,,
Afghanistan,AFG,5/4/21,2,,
Afghanistan,AFG,6/4/21,2,,
Afghanistan,AFG,7/4/21,2,,
Afghanistan,AFG,8/4/21,2,,
Afghanistan,AFG,9/4/21,2,,
Afghanistan,AFG,10/4/21,2,,
